Month,Month Name,Predicted Sales
1,January,4375669.0
2,February,6253243.0
3,March,7051248.5
4,April,7076922.5
5,May,7391218.5
6,June,7416009.0
7,July,7575616.0
8,August,7315251.5
9,September,7220055.5
10,October,6889782.0
11,November,6677859.5
12,December,6999282.5
