Date,Sales,Cost Of Sales,Quantity Sold,Year of Sales,Month Sales,Sales Month Name,Sales Day Name,Sales Quarter,Weekly Sales,Sales Season,Gross Profit,Gross Profit Margin (%),Average Selling Price,Cost per Unit,Gross Profit per Unit,Gross Profit Margin per Unit (%),7-Day Average Selling Price,30-Day Average Selling Price,30-Day Selling Price Variation,7-Day Average Gross Profit Margin (%),30-Day Average Gross Profit Margin (%),30-Day Average Quantity Sold,Low Price Condition,High Sales Volume Condition,Promotion Day,Promotion Group
2013-12-30,223937.96786972653,230079.62101244804,6827,2013,12,December,Monday,4,Weekday,Summer,-6141.653142721509,-2.74256893600747,32.801811611209395,33.701423906906115,-0.8996122956967199,-2.7425689360074688,32.801811611209395,32.801811611209395,,-2.74256893600747,-2.74256893600747,6827.0,False,False,False,1
2013-12-31,300345.48456398566,306986.1204842832,9268,2013,12,December,Tuesday,4,Weekday,Summer,-6640.635920297529,-2.2109990865811757,32.40672038886336,33.12323268065205,-0.716512291788689,-2.2109990865811895,32.604266000036375,32.604266000036375,0.2793716825081588,-2.476784011294323,-2.476784011294323,8047.5,False,True,False,1
2014-01-01,86782.4677274178,87986.31821444989,2678,2014,1,January,Wednesday,1,Weekday,Summer,-1203.8504870320903,-1.387204718369341,32.40570116781844,32.85523458343909,-0.44953341562064963,-1.387204718369352,32.5380777226304,32.5380777226304,0.22840081587339328,-2.1135909136526623,-2.1135909136526623,6257.666666666667,False,False,False,1
2014-01-02,200173.11675267716,202881.17770623261,6175,2014,1,January,Thursday,1,Weekday,Summer,-2708.060953555454,-1.3528594635918991,32.41669906925946,32.855251450402044,-0.43855238114258555,-1.352859463591905,32.507733059287666,32.507733059287666,0.1961151434777284,-1.9234080511374714,-1.9234080511374714,6237.0,False,False,False,1
2014-01-03,326906.07417633064,333806.2918733548,10084,2014,1,January,Friday,1,Weekday,Summer,-6900.217697024171,-2.110764602465675,32.41829375013196,33.10256761933309,-0.6842738692011281,-2.1107646024656765,32.48984519745652,32.48984519745652,0.1744870772590832,-1.9608793614031121,-1.9608793614031121,7006.4,False,True,False,1
2014-01-04,307043.9354221619,313652.34827236354,9470,2014,1,January,Saturday,1,Weekend,Summer,-6608.412850201654,-2.15226945978125,32.42280205091467,33.120628117461834,-0.6978260665471652,-2.15226945978125,32.47867133969955,32.47867133969955,0.1584478547894306,-1.9927777111328018,-1.9927777111328018,7417.0,False,True,False,1
2014-01-05,179188.88448780973,183083.28498402698,5524,2014,1,January,Sunday,1,Weekend,Summer,-3894.4004962172476,-2.173349372283293,32.43824845905317,33.1432449283177,-0.704996469264529,-2.1733493722832993,32.472896642464356,32.472896642464356,0.14544712259071232,-2.0185736627257294,-2.0185736627257294,7146.571428571428,False,False,False,1
2014-01-06,306351.9508589919,313446.068148843,9448,2014,1,January,Monday,1,Weekday,Summer,-7094.117289851129,-2.315675571825041,32.42505830429635,33.17591745859897,-0.7508591543026171,-2.31567557182504,32.41907474147677,32.46691685019335,0.1357158986861617,-1.9575888964139534,-2.0557114013631432,7434.25,False,True,False,1
2014-01-07,224020.40996847834,229533.97372837967,6911,2014,1,January,Tuesday,1,Weekday,Summer,-5513.563759901328,-2.4611881393651296,32.41504991585564,33.21284527975397,-0.7977953638983308,-2.4611881393651465,32.42026467390424,32.461153857489165,0.12812245422190974,-1.993330189668804,-2.1007643722522524,7376.111111111111,False,False,False,1
2014-01-08,101836.4022362371,99381.96751722493,2990,2014,1,January,Wednesday,1,Weekday,Summer,2454.434719012177,2.4101742256353984,34.05899740342378,33.23811622649663,0.820881176927152,2.4101742256354055,32.65644985041929,32.62093821208262,0.5195207731664506,-1.450847483382413,-1.6496705124634876,6937.5,False,False,False,1
